NEL_concept	NEL_ID	position_in_ranking
das::PRN	638	1
Tag::N	450	2
und::CNJ	675	3
nicht::ADV	620	4
Wasser::N	63	5
geben::V	898	6
du::PRN	641	7
Kopf::N	19	8
zehn::NUM	662	9
eins::NUM	653	10
kommen::V	779	11
er::PRN	642	12
sechs::NUM	658	13
Salz::N	358	14
hundert::NUM	673	15
zwei::NUM	654	16
nehmen::V	887	17
trinken::V	736	18
Auge::N	1	19
drei::NUM	655	20
wer::FPRN	647	21
Blut::N	41	22
gehen::V	773	23
Mutter::N	203	24
sehen::V	800	25
wir::PRN	643	26
Eis::N	78	27
Ohr::N	2	28
neu::A	564	29
ich::PRN	640	30
Name::N	230	31
brennen::V	697	32
Feuer::N	70	33
was::FPRN	646	34
Zahn::N	5	35
Bein::N	38	36
Nagel[Anatomie]::N	32	37
Winter::N	461	38
Nacht::N	454	39
Nase::N	3	40
Stein::N	64	41
tun::V	812	42
Wind::N	61	43
Sohn::N	204	44
Monat::N	456	45
Wolle::N	364	46
sie::PRN	645	47
Meer::N	106	48
lesen::V	1006	49
fliegen::V	772	50
Laus::N	167	51
Fisch::N	160	52
sterben::V	750	53
Arm::N	26	54
Berg::N	96	55
Tür::N	318	56
See::N	89	57
hören::V	803	58
Schnee::N	77	59
Hand::N	28	60
Baum::N	112	61
dies::PRN	637	62
essen::V	737	63
Jahr::N	457	64
Preis::N	425	65
Knochen::N	44	66
trocken::A	509	67
weiß::A	525	68
Erde::N	66	69
Nest::N	130	70
Ende::N	276	71
Tod::N	412	72
Rauch::N	68	73
fünf::NUM	657	74
Brust::N	24	75
Milch::N	361	76
legen::V	824	77
halten::V	849	78
Horn::N	122	79
Gras::N	110	80
ihr::PRN	644	81
wachsen::V	716	82
tragen::V	873	83
leben::V	733	84
lang::A	483	85
Vater::N	202	86
Herz::N	46	87
wissen::V	1000	88
Holz::N	299	89
Sonne::N	57	90
schmelzen::V	702	91
Öl::N	357	92
Stimme::N	234	93
lecken::V	853	94
reichen::V	899	95
Hund::N	139	96
Haut::N	40	97
Bogen[Waffe]::N	439	98
fließen::V	692	99
Heu::N	177	100
Ort::N	267	101
Zunge::N	6	102
Sommer::N	459	103
Fuß::N	34	104
Netz::N	330	105
vier::NUM	656	106
Laut::N	239	107
Kuh::N	134	108
Honig::N	360	109
sieben::NUM	659	110
Haar::N	11	111
verkaufen::V	1012	112
Brücke::N	399	113
Traum::N	55	114
Schlaf::N	54	115
stellen::V	822	116
Weg::N	403	117
Mund::N	4	118
nähen::V	966	119
gut::A	558	120
Pfeil::N	440	121
bekommen::V	885	122
Sand::N	191	123
Fluss::N	102	124
Regen::N	76	125
werden::V	681	126
Leder::N	363	127
Sprache::N	233	128
Mond::N	58	129
öffnen::V	820	130
Flügel::N	125	131
bringen::V	883	132
ziehen::V	875	133
Nadel::N	366	134
melken::V	956	135
schreiben::V	1009	136
binden::V	857	137
sagen::V	981	138
Pferd::N	136	139
Eisen::N	185	140
Seite::N	268	141
Fleisch::N	350	142
kaufen::V	1011	143
erhalten::V	886	144
kochen::V	961	145
fangen::V	878	146
Spur::N	182	147
dicht::A	487	148
sitzen::V	678	149
Ton::N	240	150
schneiden::V	866	151
machen::V	834	152
wo::FADV	648	153
teilen::V	881	154
Schaum::N	87	155
voll::A	510	156
graben::V	840	157
Blatt::N	117	158
Ast::N	115	159
fallen::V	696	160
Sache::N	271	161
Haus::N	307	162
schlafen::V	741	163
Ruder::N	288	164
Butter::N	356	165
Reihe::N	286	166
Wort::N	235	167
tauen::V	701	168
Himmel::N	56	169
Finger::N	30	170
hauen::V	861	171
Schmerz::N	395	172
Wurzel::N	111	173
messen::V	1003	174
Teil::N	257	175
Asche::N	183	176
bellen::V	726	177
Kraft::N	391	178
Faden::N	367	179
lachen::V	791	180
oder::CNJ	676	181
weinen::V	793	182
Klaue::N	126	183
töten::V	944	184
faulen::V	705	185
waschen::V	969	186
Tochter::N	205	187
fassen::V	951	188
Hälfte::N	258	189
Knie::N	36	190
fahren::V	771	191
bitter::A	520	192
schwarz::A	524	193
Leben::N	411	194
Korn::N	176	195
Heim::N	308	196
warten::V	783	197
zahlen::V	1014	198
trocknen::V	703	199
Bauch::N	21	200
